"","x"
"HR_a0",0.766195661002705
"MSE_a0",0.00986199050613148
"lower_a0",0.610327504855087
"upper_a0",0.96187557890363
"CI_width_a0",0.351548074048543
"CI_a0",0.932853717026379
"power_a0",0.642685851318945
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.73102627548826
"MSE_0",0.00929422094379231
"lower_0",0.573651773676586
"upper_0",0.931576886894222
"CI_width_0",0.357925113217637
"CI_0",0.928057553956835
"power_0",0.705035971223022
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.773489867478628
"MSE_0.25",0.0101308130668883
"lower_0.25",0.611779320560209
"upper_0.25",0.977948109543373
"CI_width_0.25",0.366168788983163
"CI_0.25",0.930455635491607
"power_0.25",0.60431654676259
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.808525696729001
"MSE_0.5",0.0140944601199612
"lower_0.5",0.643621240119714
"upper_0.5",1.01568578332093
"CI_width_0.5",0.372064543201213
"CI_0.5",0.882494004796163
"power_0.5",0.460431654676259
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.838202121300475
"MSE_0.75",0.0197468134739925
"lower_0.75",0.670872499602602
"upper_0.75",1.04727419318776
"CI_width_0.75",0.376401693585157
"CI_0.75",0.81294964028777
"power_0.75",0.354916067146283
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.86382851189579
"MSE_1",0.0263120355106209
"lower_1",0.694614119008058
"upper_1",1.07427399351316
"CI_width_1",0.379659874505104
"CI_1",0.688249400479616
"power_1",0.280575539568345
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.983787352109621
"MSE_iptw",0.0816484467929155
"lower_iptw",0.751604520314078
"upper_iptw",1.28803619044075
"CI_width_iptw",0.536431670126668
"CI_iptw",0.431654676258993
"power_iptw",0.052757793764988
"se_iptw",NA
"age_iptw",0.0086625710483951
"sex2_iptw",0.225564914930196
"HR_cox",0.729384757893009
"MSE_cox",0.00946281109322563
"lower_cox",0.57081368090755
"upper_cox",0.932012143882545
"CI_width_cox",0.361198462974995
"CI_cox",0.930455635491607
"power_cox",0.721822541966427
"se_cox",NA
"age_cox",0.00922087843961248
"sex2_cox",0.225891889163511
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.754594925810727
"MSE_a0_v1",0.00902106112896305
"lower_a0_v1",0.602486082352918
"upper_a0_v1",0.945112516188827
"CI_width_a0_v1",0.342626433835909
"CI_a0_v1",0.927817745803357
"power_a0_v1",0.699040767386091
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.116087282107417
"a0_logHR",-0.273665629097643
"bias_a0",NA
"scale",-1.09861228866811
"mean_a0",0.488832673822931
"a0_wt_ecog0",0.496573601589558
"a0_wt_ecog1",0.491750395943277
