"","x"
"HR_a0",0.997230858148702
"MSE_a0",0.0134939439917754
"lower_a0",0.797643768327573
"upper_a0",1.2467651097792
"CI_width_a0",0.449121341451624
"CI_a0",0.947242206235012
"power_a0",0.0287769784172662
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",1.00764089043415
"MSE_0",0.0158103861303147
"lower_0",0.791306528152304
"upper_0",1.28312114845591
"CI_width_0",0.491814620303608
"CI_0",0.94484412470024
"power_0",0.026378896882494
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",1.01153656940946
"MSE_0.25",0.01390954515249
"lower_0.25",0.802258880018074
"upper_0.25",1.27540939113277
"CI_width_0.25",0.4731505111147
"CI_0.25",0.956834532374101
"power_0.25",0.0215827338129496
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",1.01457146362769
"MSE_0.5",0.0132314427662604
"lower_0.5",0.810984915626251
"upper_0.5",1.26927010852759
"CI_width_0.5",0.458285192901337
"CI_0.5",0.952038369304556
"power_0.5",0.0119904076738609
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",1.01698365579914
"MSE_0.75",0.0131775154557533
"lower_0.75",0.818117236002897
"upper_0.75",1.26419640547311
"CI_width_0.75",0.446079169470211
"CI_0.75",0.947242206235012
"power_0.75",0.0143884892086331
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",1.01892825198313
"MSE_1",0.0134553633227986
"lower_1",0.824061889622389
"upper_1",1.25988248431368
"CI_width_1",0.435820594691288
"CI_1",0.942446043165468
"power_1",0.0191846522781775
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",1.04325648703394
"MSE_iptw",0.0221608758512519
"lower_iptw",0.814888411951912
"upper_iptw",1.33588351517687
"CI_width_iptw",0.520995103224956
"CI_iptw",0.928057553956835
"power_iptw",0.0335731414868106
"se_iptw",NA
"age_iptw",0.0103783709350587
"sex2_iptw",0.142205581771473
"HR_cox",1.00855697132824
"MSE_cox",0.0163403831479662
"lower_cox",0.790720789634006
"upper_cox",1.28640855445483
"CI_width_cox",0.49568776482082
"CI_cox",0.949640287769784
"power_cox",0.026378896882494
"se_cox",NA
"age_cox",0.00875085189353582
"sex2_cox",0.239003085084281
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.982071010237299
"MSE_a0_v1",0.0135647884873435
"lower_a0_v1",0.787413490527034
"upper_a0_v1",1.22485723210915
"CI_width_a0_v1",0.437443741582111
"CI_a0_v1",0.938129496402878
"power_a0_v1",0.0458033573141487
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.113938569900444
"a0_logHR",-0.00951153250776947
"bias_a0",NA
"scale",-0.732408192445406
"mean_a0",0.486868906861576
"a0_wt_ecog0",0.478377070586089
"a0_wt_ecog1",0.487815489090904
