"","x"
"HR_a0",0.708465275962865
"MSE_a0",0.00705327010875642
"lower_a0",0.571836198612885
"upper_a0",0.877742784177412
"CI_width_a0",0.305906585564527
"CI_a0",0.928057553956835
"power_a0",0.877697841726619
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.734069576565171
"MSE_0",0.00814257424591819
"lower_0",0.576060910978107
"upper_0",0.935420790816379
"CI_width_0",0.359359879838272
"CI_0",0.954436450839328
"power_0",0.729016786570743
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.719512445949407
"MSE_0.25",0.00657512637718205
"lower_0.25",0.573794062513012
"upper_0.25",0.902238832265529
"CI_width_0.25",0.328444769752517
"CI_0.25",0.959232613908873
"power_0.25",0.829736211031175
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.709229078746759
"MSE_0.5",0.00617214385922221
"lower_0.5",0.572017259699141
"upper_0.5",0.879356600554172
"CI_width_0.5",0.307339340855031
"CI_0.5",0.952038369304556
"power_0.5",0.887290167865707
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.701448630232086
"MSE_0.75",0.00622218408079164
"lower_0.75",0.570533905246001
"upper_0.75",0.862405485253394
"CI_width_0.75",0.291871580007394
"CI_0.75",0.932853717026379
"power_0.75",0.913669064748201
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.695282106566776
"MSE_1",0.00646422181506706
"lower_1",0.569250826579379
"upper_1",0.84921910366941
"CI_width_1",0.279968277090031
"CI_1",0.913669064748201
"power_1",0.932853717026379
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.669326038766149
"MSE_iptw",0.00983755653996366
"lower_iptw",0.539090622491408
"upper_iptw",0.831123530422887
"CI_width_iptw",0.292032907931479
"CI_iptw",0.84652278177458
"power_iptw",0.942446043165468
"se_iptw",NA
"age_iptw",0.00826765862351965
"sex2_iptw",0.23201045854124
"HR_cox",0.733898600110726
"MSE_cox",0.00816692685299227
"lower_cox",0.574458092623841
"upper_cox",0.937596761281974
"CI_width_cox",0.363138668658133
"CI_cox",0.961630695443645
"power_cox",0.724220623501199
"se_cox",NA
"age_cox",0.00885556307704298
"sex2_cox",0.230460549620645
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.692137734800021
"MSE_a0_v1",0.00809656786723397
"lower_a0_v1",0.560497192067641
"upper_a0_v1",0.854700406459202
"CI_width_a0_v1",0.294203214391561
"CI_a0_v1",0.892086330935252
"power_a0_v1",0.913189448441247
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.109347019000339
"a0_logHR",-0.35108762069284
"bias_a0",NA
"scale",0.183102048111352
"mean_a0",0.497939865616587
"a0_wt_ecog0",0.506303041982332
"a0_wt_ecog1",0.498374317875833
"a0_wt_ecogNA",0.496934732091999
"a0_wt_int1",0.504387688968825
"a0_wt_int2",0.486615745529954
"a0_mean_q0.1",0.116386026378897
"a0_wt_int1_q0.1",0.138250100719424
"a0_wt_int2_q0.1",0.101827040767386
"a0_mean_q0.25",0.268509706235012
"a0_wt_int1_q0.25",0.292168669064748
"a0_wt_int2_q0.25",0.238595467625899
"a0_mean_q0.5",0.50220757793765
"a0_wt_int1_q0.5",0.512397853717026
"a0_wt_int2_q0.5",0.480948621103117
"a0_mean_q0.75",0.723082595923261
"a0_wt_int1_q0.75",0.713508003597122
"a0_wt_int2_q0.75",0.729883573141487
"a0_mean_q0.9",0.875587105515588
"a0_wt_int1_q0.9",0.859261695443645
"a0_wt_int2_q0.9",0.881640956834532
"a0_wts_0_1",0.509079580335731
"a0_wts_1_1",0.505846645883293
"a0_wts_2_1",0.503076336737062
"a0_wts_0_2",0.497425780861025
"a0_wts_1_2",0.484295932256761
"a0_wts_2_2",0.485963983419971
"nu_trt",200
"nu_ctrl",100
"nu_h",97.3333333333333
"T1E",0
"a0_wt_obs",0.509073845628826
"a0_wt_cen",0.464766351422192
"HR_e0.15_t_0.975",0.714890137049621
"MSE_e0.15_t_0.975",0.00650342656362808
"lower_e0.15_t_0.975",0.571784177795775
"upper_e0.15_t_0.975",0.89394072226696
"CI_width_e0.15_t_0.975",0.322156544471185
"CI_e0.15_t_0.975",0.956834532374101
"power_e0.15_t_0.975",0.836930455635492
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.714879745131158
"MSE_e0.20_t_0.975",0.00653109194730287
"lower_e0.20_t_0.975",0.571801321860355
"upper_e0.20_t_0.975",0.893888589687458
"CI_width_e0.20_t_0.975",0.322087267827103
"CI_e0.20_t_0.975",0.956834532374101
"power_e0.20_t_0.975",0.836930455635492
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.71486885780114
"MSE_e0.25_t_0.975",0.00655972257474396
"lower_e0.25_t_0.975",0.571817913964645
"upper_e0.25_t_0.975",0.893836085725776
"CI_width_e0.25_t_0.975",0.322018171761131
"CI_e0.25_t_0.975",0.956834532374101
"power_e0.25_t_0.975",0.836930455635492
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",0.714857473896704
"MSE_e0.30_t_0.975",0.00658931512123158
"lower_e0.30_t_0.975",0.57183395368378
"upper_e0.30_t_0.975",0.893783208029569
"CI_width_e0.30_t_0.975",0.321949254345789
"CI_e0.30_t_0.975",0.956834532374101
"power_e0.30_t_0.975",0.836930455635492
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.714845592178288
"MSE_e0.35_t_0.975",0.00661986638630485
"lower_e0.35_t_0.975",0.571849440519797
"upper_e0.35_t_0.975",0.893729954170617
"CI_width_e0.35_t_0.975",0.32188051365082
"CI_e0.35_t_0.975",0.956834532374101
"power_e0.35_t_0.975",0.836930455635492
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.714833211328866
"MSE_e0.40_t_0.975",0.00665137329363994
"lower_e0.40_t_0.975",0.571864373900877
"upper_e0.40_t_0.975",0.893676321644066
"CI_width_e0.40_t_0.975",0.321811947743189
"CI_e0.40_t_0.975",0.956834532374101
"power_e0.40_t_0.975",0.836930455635492
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",0.711098833833737
"MSE_e0.15_t_0.950",0.00640352392350694
"lower_e0.15_t_0.950",0.571491223025179
"upper_e0.15_t_0.950",0.88487814016858
"CI_width_e0.15_t_0.950",0.313386917143401
"CI_e0.15_t_0.950",0.954436450839328
"power_e0.15_t_0.950",0.870503597122302
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
"HR_e0.20_t_0.950",0.711077080852986
"MSE_e0.20_t_0.950",0.00643460079829234
"lower_e0.20_t_0.950",0.571499326419378
"upper_e0.20_t_0.950",0.884811775119123
"CI_width_e0.20_t_0.950",0.313312448699745
"CI_e0.20_t_0.950",0.954436450839328
"power_e0.20_t_0.950",0.870503597122302
"se_e0.20_t_0.950",NA
"age_e0.20_t_0.950",NA
"sex2_e0.20_t_0.950",NA
"HR_e0.25_t_0.950",0.711054611128192
"MSE_e0.25_t_0.950",0.00646704272849146
"lower_e0.25_t_0.950",0.571506665706065
"upper_e0.25_t_0.950",0.88474481668469
"CI_width_e0.25_t_0.950",0.313238150978625
"CI_e0.25_t_0.950",0.954436450839328
"power_e0.25_t_0.950",0.870503597122302
"se_e0.25_t_0.950",NA
"age_e0.25_t_0.950",NA
"sex2_e0.25_t_0.950",NA
"HR_e0.30_t_0.950",0.71103142153501
"MSE_e0.30_t_0.950",0.00650084768588083
"lower_e0.30_t_0.950",0.571513238759825
"upper_e0.30_t_0.950",0.884677260261716
"CI_width_e0.30_t_0.950",0.313164021501891
"CI_e0.30_t_0.950",0.954436450839328
"power_e0.30_t_0.950",0.870503597122302
"se_e0.30_t_0.950",NA
"age_e0.30_t_0.950",NA
"sex2_e0.30_t_0.950",NA
"HR_e0.35_t_0.950",0.711007508825977
"MSE_e0.35_t_0.950",0.00653601381860258
"lower_e0.35_t_0.950",0.571519043340792
"upper_e0.35_t_0.950",0.884609101119551
"CI_width_e0.35_t_0.950",0.313090057778759
"CI_e0.35_t_0.950",0.954436450839328
"power_e0.35_t_0.950",0.870503597122302
"se_e0.35_t_0.950",NA
"age_e0.35_t_0.950",NA
"sex2_e0.35_t_0.950",NA
