"","x"
"HR_a0",0.715189605210802
"MSE_a0",0.00654177427137036
"lower_a0",0.577251895867226
"upper_a0",0.886091664234658
"CI_width_a0",0.308839768367433
"CI_a0",0.937649880095923
"power_a0",0.875299760191847
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.740936923430875
"MSE_0",0.00786580178402029
"lower_0",0.581476973108508
"upper_0",0.944128174082857
"CI_width_0",0.362651200974349
"CI_0",0.959232613908873
"power_0",0.702637889688249
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.725946768037922
"MSE_0.25",0.00607261169222245
"lower_0.25",0.578932626925838
"upper_0.25",0.910295666212256
"CI_width_0.25",0.331363039286418
"CI_0.25",0.971223021582734
"power_0.25",0.832134292565947
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.715385445595722
"MSE_0.5",0.00555374980542742
"lower_0.5",0.576979324016559
"upper_0.5",0.886994718592996
"CI_width_0.5",0.310015394576436
"CI_0.5",0.961630695443645
"power_0.5",0.896882494004796
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.707411746331369
"MSE_0.75",0.0055341138421404
"lower_0.75",0.575374511402946
"upper_0.75",0.869751374920782
"CI_width_0.75",0.294376863517836
"CI_0.75",0.952038369304556
"power_0.75",0.932853717026379
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.701103379395088
"MSE_1",0.00572888742344336
"lower_1",0.57400336637551
"upper_1",0.856349368809243
"CI_width_1",0.282346002433733
"CI_1",0.925659472422062
"power_1",0.964028776978417
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.674602607466278
"MSE_iptw",0.00913701331717923
"lower_iptw",0.543247433424343
"upper_iptw",0.837815915552129
"CI_width_iptw",0.294568482127786
"CI_iptw",0.848920863309353
"power_iptw",0.959232613908873
"se_iptw",NA
"age_iptw",0.00843892516534831
"sex2_iptw",0.23285519812031
"HR_cox",0.739665246729281
"MSE_cox",0.00808715936047305
"lower_cox",0.579005933330451
"upper_cox",0.944908638672263
"CI_width_cox",0.365902705341811
"CI_cox",0.964028776978417
"power_cox",0.702637889688249
"se_cox",NA
"age_cox",0.00907585682091619
"sex2_cox",0.228985886064621
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.698348362156453
"MSE_a0_v1",0.00742389933950014
"lower_a0_v1",0.565540879121547
"upper_a0_v1",0.862347866882146
"CI_width_a0_v1",0.296806987760599
"CI_a0_v1",0.91031175059952
"power_a0_v1",0.916306954436451
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.109358321875509
"a0_logHR",-0.341386290669351
"bias_a0",NA
"scale",0.183102048111352
"mean_a0",0.497613540277099
"a0_wt_ecog0",0.501632853494261
"a0_wt_ecog1",0.497583704421725
"a0_wt_ecogNA",0.497512979854435
"a0_wt_int1",0.504572298081535
"a0_wt_int2",0.48569172341283
"a0_mean_q0.1",0.114725105515588
"a0_wt_int1_q0.1",0.136472023980815
"a0_wt_int2_q0.1",0.101843330935252
"a0_mean_q0.25",0.267444130695444
"a0_wt_int1_q0.25",0.289903705035971
"a0_wt_int2_q0.25",0.2410375
"a0_mean_q0.5",0.502360791366906
"a0_wt_int1_q0.5",0.513215383693046
"a0_wt_int2_q0.5",0.478701378896882
"a0_mean_q0.75",0.724076558752998
"a0_wt_int1_q0.75",0.716046247002398
"a0_wt_int2_q0.75",0.72796912470024
"a0_mean_q0.9",0.87570309352518
"a0_wt_int1_q0.9",0.861269661870504
"a0_wt_int2_q0.9",0.879793342925659
"a0_wts_0_1",0.506009178657074
"a0_wts_1_1",0.503871030375699
"a0_wts_2_1",0.504726217219773
"a0_wts_0_2",0.491506787741236
"a0_wts_1_2",0.486316408307146
"a0_wts_2_2",0.484931288118302
"nu_trt",200
"nu_ctrl",100
"nu_h",97.2613908872902
"T1E",0
"a0_wt_obs",0.508584796669664
"a0_wt_cen",0.464750751016881
"HR_e0.15_t_0.975",0.722037512252203
"MSE_e0.15_t_0.975",0.00637550474440124
"lower_e0.15_t_0.975",0.577089358008421
"upper_e0.15_t_0.975",0.903518863126381
"CI_width_e0.15_t_0.975",0.32642950511796
"CI_e0.15_t_0.975",0.964028776978417
"power_e0.15_t_0.975",0.851318944844125
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.722063473311077
"MSE_e0.20_t_0.975",0.00639721767746813
"lower_e0.20_t_0.975",0.577136694472318
"upper_e0.20_t_0.975",0.903510465270622
"CI_width_e0.20_t_0.975",0.326373770798303
"CI_e0.20_t_0.975",0.964028776978417
"power_e0.20_t_0.975",0.84652278177458
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.722089002379427
"MSE_e0.25_t_0.975",0.00641988700016987
"lower_e0.25_t_0.975",0.577183536745911
"upper_e0.25_t_0.975",0.903501765248416
