"","x"
"HR_a0",0.69903261045907
"MSE_a0",0.00760176858053143
"lower_a0",0.559028758205599
"upper_a0",0.874103322239479
"CI_width_a0",0.31507456403388
"CI_a0",0.911270983213429
"power_a0",0.88968824940048
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.739510450899999
"MSE_0",0.00850940540926416
"lower_0",0.580333824357609
"upper_0",0.942348936320992
"CI_width_0",0.362015111963382
"CI_0",0.959232613908873
"power_0",0.697841726618705
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.71385172789015
"MSE_0.25",0.00734378324379552
"lower_0.25",0.565944210349468
"upper_0.25",0.900417153482428
"CI_width_0.25",0.334472943132961
"CI_0.25",0.949640287769784
"power_0.25",0.834532374100719
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.693297271662235
"MSE_0.5",0.00766842713580638
"lower_0.5",0.55401394806614
"upper_0.5",0.867601300643893
"CI_width_0.5",0.313587352577753
"CI_0.5",0.916067146282974
"power_0.5",0.913669064748201
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.676204210154299
"MSE_0.75",0.00875157803122932
"lower_0.75",0.543795678440002
"upper_0.75",0.840857507523791
"CI_width_0.75",0.297061829083789
"CI_0.75",0.884892086330935
"power_0.75",0.952038369304556
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.661605108468207
"MSE_1",0.0102401641066097
"lower_1",0.534847194881128
"upper_1",0.818409747615388
"CI_width_1",0.283562552734261
"CI_1",0.829736211031175
"power_1",0.971223021582734
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.606395161333694
"MSE_iptw",0.0207539164057262
"lower_iptw",0.482862926979957
"upper_iptw",0.761618743153457
"CI_width_iptw",0.2787558161735
"CI_iptw",0.601918465227818
"power_iptw",0.992805755395683
"se_iptw",NA
"age_iptw",0.00847562251665947
"sex2_iptw",0.229827132450936
"HR_cox",0.737907735807537
"MSE_cox",0.00851796878860967
"lower_cox",0.577604861970952
"upper_cox",0.942704730702554
"CI_width_cox",0.365099868731603
"CI_cox",0.959232613908873
"power_cox",0.702637889688249
"se_cox",NA
"age_cox",0.00873801329075191
"sex2_cox",0.23685147484797
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
