"","x"
"HR_a0",0.720545126749019
"MSE_a0",0.00690287620378853
"lower_a0",0.575339255283926
"upper_a0",0.90240358977714
"CI_width_a0",0.327064334493214
"CI_a0",0.937649880095923
"power_a0",0.824940047961631
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.727493338964964
"MSE_0",0.00799046330278734
"lower_0",0.570970040130265
"upper_0",0.926927441938176
"CI_width_0",0.355957401807911
"CI_0",0.961630695443645
"power_0",0.750599520383693
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.729874392555728
"MSE_0.25",0.00706717100507176
"lower_0.25",0.578172676948826
"upper_0.25",0.921382726960944
"CI_width_0.25",0.343210050012119
"CI_0.25",0.954436450839328
"power_0.25",0.79136690647482
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.731616151320324
"MSE_0.5",0.00662517810102903
"lower_0.5",0.583835262520032
"upper_0.5",0.916807757819983
"CI_width_0.5",0.332972495299951
"CI_0.5",0.959232613908873
"power_0.5",0.803357314148681
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.732912101183959
"MSE_0.75",0.00643751928058719
"lower_0.75",0.588408653773503
"upper_0.75",0.912908823089413
"CI_width_0.75",0.324500169315911
"CI_0.75",0.961630695443645
"power_0.75",0.815347721822542
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.733885076946114
"MSE_1",0.00639207818755919
"lower_1",0.592179892356129
"upper_1",0.909506203726848
"CI_width_1",0.317326311370719
"CI_1",0.956834532374101
"power_1",0.827338129496403
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.734340103982349
"MSE_iptw",0.00787269040214204
"lower_iptw",0.573505211644724
"upper_iptw",0.940502330496394
"CI_width_iptw",0.36699711885167
"CI_iptw",0.959232613908873
"power_iptw",0.702637889688249
"se_iptw",NA
"age_iptw",0.00639441817745819
"sex2_iptw",0.292662045685557
"HR_cox",0.725673038144377
"MSE_cox",0.00824449184722396
"lower_cox",0.567992842216181
"upper_cox",0.927132843385926
"CI_width_cox",0.359140001169745
"CI_cox",0.952038369304556
"power_cox",0.743405275779377
"se_cox",NA
"age_cox",0.00871562542054263
"sex2_cox",0.222902213818263
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.710539627503542
"MSE_a0_v1",0.00709312769986485
"lower_a0_v1",0.568568068643345
"upper_a0_v1",0.887967372828372
"CI_width_a0_v1",0.319399304185028
"CI_a0_v1",0.934292565947242
"power_a0_v1",0.864028776978417
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.114877600237555
"a0_logHR",-0.334262330271967
"bias_a0",NA
"scale",0.732408192445407
"mean_a0",0.487465903075349
"a0_wt_ecog0",0.484847057540049
"a0_wt_ecog1",0.488031378652872
"a0_wt_ecogNA",0.48835541737585
"a0_wt_int1",0.495311166426859
"a0_wt_int2",0.46791258230323
"a0_mean_q0.1",0.106185431654676
"a0_wt_int1_q0.1",0.121891398081535
"a0_wt_int2_q0.1",0.0932740743405276
"a0_mean_q0.25",0.250744568345324
"a0_wt_int1_q0.25",0.269453057553957
"a0_wt_int2_q0.25",0.218221816546763
"a0_mean_q0.5",0.482926714628297
"a0_wt_int1_q0.5",0.492491522781775
"a0_wt_int2_q0.5",0.45543964028777
"a0_mean_q0.75",0.719000677458034
"a0_wt_int1_q0.75",0.717811049160672
"a0_wt_int2_q0.75",0.707743950839329
"a0_mean_q0.9",0.880201992805755
"a0_wt_int1_q0.9",0.877057645083933
"a0_wt_int2_q0.9",0.865905707434053
"a0_wts_0_1",0.496060449640288
"a0_wts_1_1",0.495080087130296
"a0_wts_2_1",0.495326297284753
"a0_wts_0_2",NA
"a0_wts_1_2",0.468733656256452
"a0_wts_2_2",0.470317918919847
"nu_trt",200
"nu_ctrl",100
"nu_h",54.3645083932854
"T1E",0
"a0_wt_obs",0.498372250937371
"a0_wt_cen",0.477470807240303
"HR_e0.15_t_0.975",0.727561239685028
"MSE_e0.15_t_0.975",0.00728984083846477
"lower_e0.15_t_0.975",0.575926220776121
"upper_e0.15_t_0.975",0.919177614762139
"CI_width_e0.15_t_0.975",0.343251393986018
"CI_e0.15_t_0.975",0.956834532374101
"power_e0.15_t_0.975",0.788968824940048
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.727253480987388
"MSE_e0.20_t_0.975",0.0072866188460982
"lower_e0.20_t_0.975",0.57569789770912
"upper_e0.20_t_0.975",0.918764805138725
"CI_width_e0.20_t_0.975",0.343066907429605
"CI_e0.20_t_0.975",0.956834532374101
"power_e0.20_t_0.975",0.79136690647482
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.726946264653496
"MSE_e0.25_t_0.975",0.00728412940695865
"lower_e0.25_t_0.975",0.575469884106095
"upper_e0.25_t_0.975",0.918352873867875
"CI_width_e0.25_t_0.975",0.34288298976178
"CI_e0.25_t_0.975",0.956834532374101
"power_e0.25_t_0.975",0.79136690647482
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",0.726639584480676
"MSE_e0.30_t_0.975",0.00728236861882652
"lower_e0.30_t_0.975",0.575242175450926
"upper_e0.30_t_0.975",0.917941812415485
"CI_width_e0.30_t_0.975",0.342699636964559
"CI_e0.30_t_0.975",0.956834532374101
"power_e0.30_t_0.975",0.79136690647482
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.726333434281804
"MSE_e0.35_t_0.975",0.00728133265635264
"lower_e0.35_t_0.975",0.575014767232821
"upper_e0.35_t_0.975",0.917531612279129
"CI_width_e0.35_t_0.975",0.342516845046308
"CI_e0.35_t_0.975",0.956834532374101
"power_e0.35_t_0.975",0.793764988009592
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.726027807884538
"MSE_e0.40_t_0.975",0.00728101777055133
"lower_e0.40_t_0.975",0.574787654945656
"upper_e0.40_t_0.975",0.917122264987138
"CI_width_e0.40_t_0.975",0.342334610041482
"CI_e0.40_t_0.975",0.956834532374101
"power_e0.40_t_0.975",0.793764988009592
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",0.727964853564175
"MSE_e0.15_t_0.950",0.00714861269943193
"lower_e0.15_t_0.950",0.578176579552362
"upper_e0.15_t_0.950",0.916607730635955
"CI_width_e0.15_t_0.950",0.338431151083593
"CI_e0.15_t_0.950",0.959232613908873
"power_e0.15_t_0.950",0.798561151079137
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
"HR_e0.20_t_0.950",0.727555020937773
"MSE_e0.20_t_0.950",0.00714494481479438
"lower_e0.20_t_0.950",0.577869388082638
"upper_e0.20_t_0.950",0.916062970693927
"CI_width_e0.20_t_0.950",0.338193582611289
"CI_e0.20_t_0.950",0.959232613908873
"power_e0.20_t_0.950",0.800959232613909
"se_e0.20_t_0.950",NA
"age_e0.20_t_0.950",NA
"sex2_e0.20_t_0.950",NA
"HR_e0.25_t_0.950",0.727145797119308
"MSE_e0.25_t_0.950",0.00714229057026693
"lower_e0.25_t_0.950",0.577562524375494
"upper_e0.25_t_0.950",0.915519227807696
"CI_width_e0.25_t_0.950",0.337956703432202
"CI_e0.25_t_0.950",0.956834532374101
"power_e0.25_t_0.950",0.800959232613909
"se_e0.25_t_0.950",NA
"age_e0.25_t_0.950",NA
"sex2_e0.25_t_0.950",NA
"HR_e0.30_t_0.950",0.726737174141789
"MSE_e0.30_t_0.950",0.00714064540202795
"lower_e0.30_t_0.950",0.577255982503655
"upper_e0.30_t_0.950",0.91497649122599
"CI_width_e0.30_t_0.950",0.337720508722335
"CI_e0.30_t_0.950",0.956834532374101
"power_e0.30_t_0.950",0.800959232613909
"se_e0.30_t_0.950",NA
"age_e0.30_t_0.950",NA
"sex2_e0.30_t_0.950",NA
"HR_e0.35_t_0.950",0.726329144044965
"MSE_e0.35_t_0.950",0.00714000484668446
"lower_e0.35_t_0.950",0.576949756536558
"upper_e0.35_t_0.950",0.914434750220828
"CI_width_e0.35_t_0.950",0.33748499368427
"CI_e0.35_t_0.950",0.956834532374101
"power_e0.35_t_0.950",0.803357314148681
"se_e0.35_t_0.950",NA
"age_e0.35_t_0.950",NA
"sex2_e0.35_t_0.950",NA
"HR_e0.40_t_0.950",0.725921698874223
"MSE_e0.40_t_0.950",0.00714036454090551
"lower_e0.40_t_0.950",0.576643840539377
"upper_e0.40_t_0.950",0.91389399408628
"CI_width_e0.40_t_0.950",0.337250153546903
"CI_e0.40_t_0.950",0.956834532374101
"power_e0.40_t_0.950",0.805755395683453
"se_e0.40_t_0.950",NA
"age_e0.40_t_0.950",NA
"sex2_e0.40_t_0.950",NA
"HR_e0.15_t_0.925",0.728750728963118
"MSE_e0.15_t_0.925",0.00692412839457022
"lower_e0.15_t_0.925",0.58042730541421
"upper_e0.15_t_0.925",0.915003071842889
"CI_width_e0.15_t_0.925",0.33457576642868
"CI_e0.15_t_0.925",0.956834532374101
"power_e0.15_t_0.925",0.800959232613909
"se_e0.15_t_0.925",NA
"age_e0.15_t_0.925",NA
"sex2_e0.15_t_0.925",NA
"HR_e0.20_t_0.925",0.728261670956014
"MSE_e0.20_t_0.925",0.00692488412284873
"lower_e0.20_t_0.925",0.580057121460006
"upper_e0.20_t_0.925",0.914358698286588
"CI_width_e0.20_t_0.925",0.334301576826582
"CI_e0.20_t_0.925",0.956834532374101
