"","x"
"HR_a0",0.993119781249387
"MSE_a0",0.013595738992352
"lower_a0",0.79450974342393
"upper_a0",1.24138357104868
"CI_width_a0",0.446873827624754
"CI_a0",0.940047961630695
"power_a0",0.0359712230215827
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",1.00493754992967
"MSE_0",0.0164512745951591
"lower_0",0.789242459774726
"upper_0",1.27958292834391
"CI_width_0",0.490340468569188
"CI_0",0.949640287769784
"power_0",0.0239808153477218
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",1.00845736917169
"MSE_0.25",0.0142682802595085
"lower_0.25",0.799805082582246
"upper_0.25",1.2715456147751
"CI_width_0.25",0.471740532192857
"CI_0.25",0.949640287769784
"power_0.25",0.026378896882494
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",1.01109568504653
"MSE_0.5",0.0131733274077613
"lower_0.5",0.80815277622241
"upper_0.5",1.26500619137001
"CI_width_0.5",0.456853415147604
"CI_0.5",0.94484412470024
"power_0.5",0.0287769784172662
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",1.01311992411486
"MSE_0.75",0.0126598516368222
"lower_0.75",0.814928762883459
"upper_0.75",1.25951766170295
"CI_width_0.75",0.44458889881949
"CI_0.75",0.940047961630695
"power_0.75",0.0311750599520384
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",1.01469698533224
"MSE_1",0.0124749277600127
"lower_1",0.820542402294811
"upper_1",1.25479971351118
"CI_width_1",0.434257311216367
"CI_1",0.935251798561151
"power_1",0.0335731414868106
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",1.0293518788324
"MSE_iptw",0.0172838425436597
"lower_iptw",0.8054718666816
"upper_iptw",1.31570451864474
"CI_width_iptw",0.510232651963145
"CI_iptw",0.954436450839328
"power_iptw",0.0215827338129496
"se_iptw",NA
"age_iptw",0.00985182372229223
"sex2_iptw",0.163203950588334
"HR_cox",1.00592892416477
"MSE_cox",0.0171045114235295
"lower_cox",0.788669443888843
"upper_cox",1.28304178096952
"CI_width_cox",0.494372337080678
"CI_cox",0.949640287769784
"power_cox",0.0239808153477218
"se_cox",NA
"age_cox",0.00927256946713298
"sex2_cox",0.227487556760186
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.978088982741681
"MSE_a0_v1",0.0137841033329642
"lower_a0_v1",0.784352989756224
"upper_a0_v1",1.21968446718126
"CI_width_a0_v1",0.435331477425034
"CI_a0_v1",0.930695443645084
"power_a0_v1",0.0498800959232614
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.113852065242965
"a0_logHR",-0.0137680864088706
"bias_a0",NA
"scale",-0.549306144334055
"mean_a0",0.490010806790842
"a0_wt_ecog0",0.484230146198992
"a0_wt_ecog1",0.491834357473736
"a0_wt_ecogNA",0.49068948852031
"a0_wt_int1",0.495795881294964
"a0_wt_int2",0.475326980213944
"a0_mean_q0.1",0.108975040767386
"a0_wt_int1_q0.1",0.12331929736211
"a0_wt_int2_q0.1",0.100023983213429
"a0_mean_q0.25",0.255424100719424
"a0_wt_int1_q0.25",0.271695935251799
"a0_wt_int2_q0.25",0.229294970023981
"a0_mean_q0.5",0.486759508393285
"a0_wt_int1_q0.5",0.493486366906475
"a0_wt_int2_q0.5",0.466390599520384
"a0_mean_q0.75",0.719860665467626
