"","x"
"HR_a0",0.769350156214335
"MSE_a0",0.00950149762404533
"lower_a0",0.612889623263775
"upper_a0",0.965758706753027
"CI_width_a0",0.352869083489252
"CI_a0",0.928057553956835
"power_a0",0.630695443645084
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.734991503946638
"MSE_0",0.00861917873970139
"lower_0",0.576831738751289
"upper_0",0.936519136450646
"CI_width_0",0.359687397699356
"CI_0",0.937649880095923
"power_0",0.729016786570743
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.777551786702491
"MSE_0.25",0.0101128992993335
"lower_0.25",0.61504548530899
"upper_0.25",0.982998303069152
"CI_width_0.25",0.367952817760162
"CI_0.25",0.940047961630695
"power_0.25",0.587529976019185
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.812817504180162
"MSE_0.5",0.0147066976487274
"lower_0.5",0.647084390368704
"upper_0.5",1.02100344106794
"CI_width_0.5",0.37391905069924
"CI_0.5",0.882494004796163
"power_0.5",0.443645083932854
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.842786774198193
"MSE_0.75",0.0209801596284408
"lower_0.75",0.674585906711854
"upper_0.75",1.05293352935502
"CI_width_0.75",0.378347622643162
"CI_0.75",0.779376498800959
"power_0.75",0.328537170263789
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.868735089037658
"MSE_1",0.0281592815272021
"lower_1",0.698603146330583
"upper_1",1.08030825088801
"CI_width_1",0.381705104557423
"CI_1",0.666666666666667
"power_1",0.24220623501199
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.996521146770953
"MSE_iptw",0.0911948268746244
"lower_iptw",0.761138756583183
"upper_iptw",1.30502499315838
"CI_width_iptw",0.543886236575195
"CI_iptw",0.422062350119904
"power_iptw",0.0551558752997602
"se_iptw",NA
"age_iptw",0.00843564561250047
"sex2_iptw",0.210647329904753
"HR_cox",0.733998107047542
"MSE_cox",0.00897963335212937
"lower_cox",0.574522505563948
"upper_cox",0.937746523270392
"CI_width_cox",0.363224017706443
"CI_cox",0.932853717026379
"power_cox",0.729016786570743
"se_cox",NA
"age_cox",0.00876283007494787
"sex2_cox",0.23130969849788
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.757639490546847
"MSE_a0_v1",0.00861667782952513
"lower_a0_v1",0.604966182345177
"upper_a0_v1",0.948849299350693
"CI_width_a0_v1",0.343883117005517
"CI_a0_v1",0.938609112709832
"power_a0_v1",0.68705035971223
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.116036976922745
"a0_logHR",-0.269037206697913
"bias_a0",NA
"scale",-1.09861228866811
"mean_a0",0.488463243151784
"a0_wt_ecog0",0.490651533474586
"a0_wt_ecog1",0.486354909031311
"a0_wt_ecogNA",0.490036875403847
"a0_wt_int1",0.496497901678657
"a0_wt_int2",0.468021657920495
"a0_mean_q0.1",0.104420431654676
"a0_wt_int1_q0.1",0.12385851558753
"a0_wt_int2_q0.1",0.0860997026378897
"a0_mean_q0.25",0.252432104316547
"a0_wt_int1_q0.25",0.272335005995204
"a0_wt_int2_q0.25",0.214002865707434
"a0_mean_q0.5",0.485033345323741
"a0_wt_int1_q0.5",0.494773896882494
"a0_wt_int2_q0.5",0.4585153117506
"a0_mean_q0.75",0.721208315347722
"a0_wt_int1_q0.75",0.717805917266187
"a0_wt_int2_q0.75",0.712808717026379
"a0_mean_q0.9",0.880111932853717
"a0_wt_int1_q0.9",0.876074383693046
"a0_wt_int2_q0.9",0.867416594724221
"a0_wts_0_1",0.496849808153477
"a0_wts_1_1",0.495411396482814
