"","x"
"HR_a0",0.924430687395662
"MSE_a0",0.0177376449394899
"lower_a0",0.746027808517165
"upper_a0",1.14550084537296
"CI_width_a0",0.399473036855799
"CI_a0",0.851318944844125
"power_a0",0.139088729016787
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.999748517583798
"MSE_0",0.0156156965920916
"lower_0",0.78509767947025
"upper_0",1.2730893247554
"CI_width_0",0.487991645285151
"CI_0",0.947242206235012
"power_0",0.0239808153477218
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.937870194032641
"MSE_0.25",0.0158397298921938
"lower_0.25",0.748557691229039
"upper_0.25",1.17506299199623
"CI_width_0.25",0.426505300767196
"CI_0.25",0.916067146282974
"power_0.25",0.079136690647482
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.895061512298027
"MSE_0.5",0.0210816915047295
"lower_0.5",0.722551260027077
"upper_0.5",1.10876157350728
"CI_width_0.5",0.386210313480205
"CI_0.5",0.817745803357314
"power_0.5",0.182254196642686
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.863172978990597
"MSE_0.75",0.0276586625802428
"lower_0.75",0.702710616825854
"upper_0.75",1.06027943095507
"CI_width_0.75",0.357568814129213
"CI_0.75",0.673860911270983
"power_0.75",0.326139088729017
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.838201344447547
"MSE_1",0.0343861469860839
"lower_1",0.68685805895091
"upper_1",1.0228948126182
"CI_width_1",0.336036753667288
"CI_1",0.529976019184652
"power_1",0.470023980815348
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.743940534224812
"MSE_iptw",0.0719543316808222
"lower_iptw",0.605896208846243
"upper_iptw",0.913493943734849
"CI_width_iptw",0.307597734888606
"CI_iptw",0.170263788968825
"power_iptw",0.829736211031175
"se_iptw",NA
"age_iptw",0.00809937196459948
"sex2_iptw",0.228578883230259
"HR_cox",1.00049477661567
"MSE_cox",0.016289986775816
"lower_cox",0.78425707377088
"upper_cox",1.27635992425301
"CI_width_cox",0.492102850482125
"CI_cox",0.942446043165468
"power_cox",0.026378896882494
"se_cox",NA
"age_cox",0.009403371907357
"sex2_cox",0.232099000411284
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.901274462833185
"MSE_a0_v1",0.0216704964646692
"lower_a0_v1",0.730090511886292
"upper_a0_v1",1.11260146284753
"CI_width_a0_v1",0.38251095096124
"CI_a0_v1",0.797362110311751
"power_a0_v1",0.199040767386091
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.109382677823933
"a0_logHR",-0.0855422765539152
"bias_a0",NA
"scale",0.732408192445407
"mean_a0",0.481955167198562
"a0_wt_ecog0",0.488042060053223
"a0_wt_ecog1",0.483751708129688
"a0_wt_ecogNA",0.480727144178303
"a0_wt_int1",0.504547151798561
"a0_wt_int2",0.444196293041948
"a0_mean_q0.1",0.103038580335731
"a0_wt_int1_q0.1",0.13836887529976
"a0_wt_int2_q0.1",0.0781095011990408
"a0_mean_q0.25",0.246706474820144
"a0_wt_int1_q0.25",0.29083214028777
"a0_wt_int2_q0.25",0.194017925659472
"a0_mean_q0.5",0.479946318944844
"a0_wt_int1_q0.5",0.512062098321343
"a0_wt_int2_q0.5",0.418329016786571
"a0_mean_q0.75",0.709270761390887
"a0_wt_int1_q0.75",0.714730617505995
"a0_wt_int2_q0.75",0.68165964028777
"a0_mean_q0.9",0.866737232613909
"a0_wt_int1_q0.9",0.860582023980815
"a0_wt_int2_q0.9",0.854486839328537
"a0_wts_0_1",0.512900527577938
"a0_wts_1_1",0.50521592166267
"a0_wts_2_1",0.503145698537944
"a0_wts_0_2",NA
"a0_wts_1_2",0.447860470608003
"a0_wts_2_2",0.442801960491822
"nu_trt",200
"nu_ctrl",100
"nu_h",97.4172661870504
"T1E",1
"a0_wt_obs",0.486224194079001
"a0_wt_cen",0.468323475682524
"HR_e0.15_t_0.975",0.958178483702973
"MSE_e0.15_t_0.975",0.0175003328155296
"lower_e0.15_t_0.975",0.760667855583326
"upper_e0.15_t_0.975",1.20715738195103
"CI_width_e0.15_t_0.975",0.446489526367704
"CI_e0.15_t_0.975",0.887290167865707
"power_e0.15_t_0.975",0.0935251798561151
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.95862938882294
"MSE_e0.20_t_0.975",0.0174405811167391
"lower_e0.20_t_0.975",0.761041160014565
"upper_e0.20_t_0.975",1.20770170412974
"CI_width_e0.20_t_0.975",0.446660544115176
"CI_e0.20_t_0.975",0.88968824940048
"power_e0.20_t_0.975",0.0911270983213429
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.959079879443879
"MSE_e0.25_t_0.975",0.0173827210317798
"lower_e0.25_t_0.975",0.761414083505599
"upper_e0.25_t_0.975",1.20824558766213
"CI_width_e0.25_t_0.975",0.44683150415653
"CI_e0.25_t_0.975",0.887290167865707
"power_e0.25_t_0.975",0.0935251798561151
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",0.959529959278559
"MSE_e0.30_t_0.975",0.017326747304028
"lower_e0.30_t_0.975",0.761786629215183
"upper_e0.30_t_0.975",1.20878903686732
"CI_width_e0.30_t_0.975",0.447002407652137
"CI_e0.30_t_0.975",0.887290167865707
"power_e0.30_t_0.975",0.0935251798561151
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.959979632000793
"MSE_e0.35_t_0.975",0.0172726547705925
"lower_e0.35_t_0.975",0.762158800268864
"upper_e0.35_t_0.975",1.20933205601936
"CI_width_e0.35_t_0.975",0.447173255750492
"CI_e0.35_t_0.975",0.884892086330935
"power_e0.35_t_0.975",0.0959232613908873
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.96042890124611
"MSE_e0.40_t_0.975",0.0172204383610874
"lower_e0.40_t_0.975",0.762530599759517
"upper_e0.40_t_0.975",1.20987464934801
"CI_width_e0.40_t_0.975",0.447344049588498
"CI_e0.40_t_0.975",0.887290167865707
"power_e0.40_t_0.975",0.0935251798561151
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",0.936909362580256
"MSE_e0.15_t_0.950",0.0181295058157486
"lower_e0.15_t_0.950",0.748163673823096
"upper_e0.15_t_0.950",1.17345133817252
"CI_width_e0.15_t_0.950",0.425287664349423
"CI_e0.15_t_0.950",0.872901678657074
"power_e0.15_t_0.950",0.119904076738609
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
