"","x"
"HR_a0",0.728705791521028
"MSE_a0",0.00709551112549492
"lower_a0",0.587210496148944
"upper_a0",0.904299588826569
"CI_width_a0",0.317089092677625
"CI_a0",0.942446043165468
"power_a0",0.839328537170264
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.738316372170379
"MSE_0",0.00806463016607438
"lower_0",0.579433729427138
"upper_0",0.940767507403132
"CI_width_0",0.361333777975994
"CI_0",0.954436450839328
"power_0",0.726618705035971
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.776438532340578
"MSE_0.25",0.0092795681302331
"lower_0.25",0.619317398551682
"upper_0.25",0.973423794579566
"CI_width_0.25",0.354106396027884
"CI_0.25",0.925659472422062
"power_0.25",0.606714628297362
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.798923599666454
"MSE_0.5",0.012225460656841
"lower_0.5",0.644384957816707
"upper_0.5",0.99052735610388
"CI_width_0.5",0.346142398287173
"CI_0.5",0.894484412470024
"power_0.5",0.546762589928058
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.8134511564793
"MSE_0.75",0.0150421251878092
"lower_0.75",0.661550162530935
"upper_0.75",1.00023442160648
"CI_width_0.75",0.338684259075548
"CI_0.75",0.829736211031175
"power_0.75",0.517985611510791
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.82339870607598
"MSE_1",0.0174174216324601
"lower_1",0.67397307400972
"upper_1",1.00595744745541
"CI_width_1",0.331984373445686
"CI_1",0.774580335731415
"power_1",0.496402877697842
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.802736266975925
"MSE_iptw",0.0128237393336956
"lower_iptw",0.643675308514788
"upper_iptw",1.00119312220608
"CI_width_iptw",0.357517813691292
"CI_iptw",0.88968824940048
"power_iptw",0.508393285371703
"se_iptw",NA
"age_iptw",0.00353661545160971
"sex2_iptw",0.387156791122344
"HR_cox",0.736328608131854
"MSE_cox",0.00829295835002119
"lower_cox",0.576352701119488
"upper_cox",0.940714220342715
"CI_width_cox",0.364361519223227
"CI_cox",0.949640287769784
"power_cox",0.721822541966427
"se_cox",NA
"age_cox",0.00869320420764327
"sex2_cox",0.232171610213309
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.711076677930764
"MSE_a0_v1",0.00744422586372478
"lower_a0_v1",0.574993725397422
"upper_a0_v1",0.879370530374617
"CI_width_a0_v1",0.304376804977194
"CI_a0_v1",0.91294964028777
"power_a0_v1",0.878896882494005
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.110181410250369
"a0_logHR",-0.323168193269773
"bias_a0",NA
"scale",0.732408192445407
"mean_a0",0.473679497605841
"a0_wt_ecog0",0.442822934506408
"a0_wt_ecog1",0.476078008550751
"a0_wt_ecogNA",0.47699118630962
"a0_wt_int1",0.503465897841727
"a0_wt_int2",0.423917941498335
"a0_mean_q0.1",0.0839151270983213
"a0_wt_int1_q0.1",0.137543412470024
"a0_wt_int2_q0.1",0.0449701127098321
"a0_mean_q0.25",0.230389028776978
"a0_wt_int1_q0.25",0.289267553956835
"a0_wt_int2_q0.25",0.1518451558753
"a0_mean_q0.5",0.474149376498801
"a0_wt_int1_q0.5",0.511607134292566
"a0_wt_int2_q0.5",0.392294448441247
"a0_mean_q0.75",0.706432086330935
"a0_wt_int1_q0.75",0.713878651079137
"a0_wt_int2_q0.75",0.676593920863309
"a0_mean_q0.9",0.86451139088729
"a0_wt_int1_q0.9",0.858273436450839
"a0_wt_int2_q0.9",0.85598875059952
"a0_wts_0_1",0.501579799160671
"a0_wts_1_1",0.505799434052758
"a0_wts_2_1",0.502580134988783
"a0_wts_0_2",0.341830057411214
"a0_wts_1_2",0.425922649893807
"a0_wts_2_2",0.433715189781627
"nu_trt",200
"nu_ctrl",100
"nu_h",96.5875299760192
"T1E",0
"a0_wt_obs",0.478760664612223
"a0_wt_cen",0.458965842125227
"HR_e0.15_t_0.975",0.747486543423281
"MSE_e0.15_t_0.975",0.00859590173625753
"lower_e0.15_t_0.975",0.591153949012553
"upper_e0.15_t_0.975",0.945280540941876
"CI_width_e0.15_t_0.975",0.354126591929324
"CI_e0.15_t_0.975",0.942446043165468
"power_e0.15_t_0.975",0.700239808153477
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.746712553301936
"MSE_e0.20_t_0.975",0.00850459458485395
"lower_e0.20_t_0.975",0.590536390550938
"upper_e0.20_t_0.975",0.944310578982646
"CI_width_e0.20_t_0.975",0.353774188431709
"CI_e0.20_t_0.975",0.942446043165468
"power_e0.20_t_0.975",0.702637889688249
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.745935415984726
"MSE_e0.25_t_0.975",0.00841822133995353
"lower_e0.25_t_0.975",0.589916006857928
"upper_e0.25_t_0.975",0.943337160217637
"CI_width_e0.25_t_0.975",0.35342115335971
"CI_e0.25_t_0.975",0.942446043165468
"power_e0.25_t_0.975",0.707434052757794
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",0.745155031055078
"MSE_e0.30_t_0.975",0.00833684536168203
"lower_e0.30_t_0.975",0.589292711728231
"upper_e0.30_t_0.975",0.942360168130438
"CI_width_e0.30_t_0.975",0.353067456402207
"CI_e0.30_t_0.975",0.942446043165468
"power_e0.30_t_0.975",0.707434052757794
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.744371294006586
"MSE_e0.35_t_0.975",0.00826053393917267
"lower_e0.35_t_0.975",0.588666415350048
"upper_e0.35_t_0.975",0.941379481614673
"CI_width_e0.35_t_0.975",0.352713066264625
"CI_e0.35_t_0.975",0.942446043165468
"power_e0.35_t_0.975",0.709832134292566
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.743584095955728
"MSE_e0.40_t_0.975",0.0081893585503791
"lower_e0.40_t_0.975",0.588037024047891
"upper_e0.40_t_0.975",0.940394974657854
"CI_width_e0.40_t_0.975",0.352357950609962
"CI_e0.40_t_0.975",0.94484412470024
"power_e0.40_t_0.975",0.721822541966427
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",0.757566147670541
"MSE_e0.15_t_0.950",0.00920293724613757
"lower_e0.15_t_0.950",0.602743698421918
"upper_e0.15_t_0.950",0.952304473478583
"CI_width_e0.15_t_0.950",0.349560775056665
"CI_e0.15_t_0.950",0.928057553956835
"power_e0.15_t_0.950",0.669064748201439
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
"HR_e0.20_t_0.950",0.756097819197713
"MSE_e0.20_t_0.950",0.00901807049821571
"lower_e0.20_t_0.950",0.601564240946729
"upper_e0.20_t_0.950",0.950476591946648
"CI_width_e0.20_t_0.950",0.34891235099992
"CI_e0.20_t_0.950",0.930455635491607
"power_e0.20_t_0.950",0.671462829736211
"se_e0.20_t_0.950",NA
"age_e0.20_t_0.950",NA
"sex2_e0.20_t_0.950",NA
"HR_e0.25_t_0.950",0.75462186676321
"MSE_e0.25_t_0.950",0.00884332460465132
"lower_e0.25_t_0.950",0.600378090695101
"upper_e0.25_t_0.950",0.948640100686654
"CI_width_e0.25_t_0.950",0.348262009991553
"CI_e0.25_t_0.950",0.935251798561151
"power_e0.25_t_0.950",0.683453237410072
"se_e0.25_t_0.950",NA
"age_e0.25_t_0.950",NA
"sex2_e0.25_t_0.950",NA
"HR_e0.30_t_0.950",0.753138065554148
"MSE_e0.30_t_0.950",0.00867885865094818
"lower_e0.30_t_0.950",0.59918505411696
"upper_e0.30_t_0.950",0.946794739820404
"CI_width_e0.30_t_0.950",0.347609685703444
"CI_e0.30_t_0.950",0.937649880095923
"power_e0.30_t_0.950",0.690647482014389
"se_e0.30_t_0.950",NA
"age_e0.30_t_0.950",NA
"sex2_e0.30_t_0.950",NA
"HR_e0.35_t_0.950",0.751646181326999
"MSE_e0.35_t_0.950",0.0085248407238734
"lower_e0.35_t_0.950",0.597984929365472
"upper_e0.35_t_0.950",0.944940238858166
"CI_width_e0.35_t_0.950",0.346955309492694
"CI_e0.35_t_0.950",0.937649880095923
"power_e0.35_t_0.950",0.695443645083933
"se_e0.35_t_0.950",NA
"age_e0.35_t_0.950",NA
"sex2_e0.35_t_0.950",NA
"HR_e0.40_t_0.950",0.750145969759277
"MSE_e0.40_t_0.950",0.00838144851275633
"lower_e0.40_t_0.950",0.596777505718176
"upper_e0.40_t_0.950",0.943076315983245
"CI_width_e0.40_t_0.950",0.346298810265069
"CI_e0.40_t_0.950",0.937649880095923
"power_e0.40_t_0.950",0.71462829736211
"se_e0.40_t_0.950",NA
"age_e0.40_t_0.950",NA
"sex2_e0.40_t_0.950",NA
"HR_e0.15_t_0.925",0.770385682244969
"MSE_e0.15_t_0.925",0.0100782339841066
"lower_e0.15_t_0.925",0.617054114510151
"upper_e0.15_t_0.925",0.961929159063542
"CI_width_e0.15_t_0.925",0.344875044553392
"CI_e0.15_t_0.925",0.918465227817746
"power_e0.15_t_0.925",0.645083932853717
"se_e0.15_t_0.925",NA
"age_e0.15_t_0.925",NA
"sex2_e0.15_t_0.925",NA
"HR_e0.20_t_0.925",0.768095257384682
"MSE_e0.20_t_0.925",0.0097664326280089
"lower_e0.20_t_0.925",0.615204532322232
"upper_e0.20_t_0.925",0.959092915628132
"CI_width_e0.20_t_0.925",0.3438883833059
"CI_e0.20_t_0.925",0.918465227817746
"power_e0.20_t_0.925",0.657074340527578
"se_e0.20_t_0.925",NA
"age_e0.20_t_0.925",NA
"sex2_e0.20_t_0.925",NA
"HR_e0.25_t_0.925",0.765789516281029
"MSE_e0.25_t_0.925",0.00947134485904399
"lower_e0.25_t_0.925",0.613341717437055
"upper_e0.25_t_0.925",0.956239043937996
"CI_width_e0.25_t_0.925",0.342897326500941
"CI_e0.25_t_0.925",0.920863309352518
"power_e0.25_t_0.925",0.669064748201439
"se_e0.25_t_0.925",NA
"age_e0.25_t_0.925",NA
"sex2_e0.25_t_0.925",NA
"HR_e0.30_t_0.925",0.763468002385677
"MSE_e0.30_t_0.925",0.00919330836701267
"lower_e0.30_t_0.925",0.611465276917802
"upper_e0.30_t_0.925",0.953367016144772
"CI_width_e0.30_t_0.925",0.34190173922697
"CI_e0.30_t_0.925",0.920863309352518
"power_e0.30_t_0.925",0.678657074340528
"se_e0.30_t_0.925",NA
"age_e0.30_t_0.925",NA
"sex2_e0.30_t_0.925",NA
"HR_e0.35_t_0.925",0.761130238007324
"MSE_e0.35_t_0.925",0.0089326801951387
"lower_e0.35_t_0.925",0.609574799277652
"upper_e0.35_t_0.925",0.950476280529075
"CI_width_e0.35_t_0.925",0.340901481251423
"CI_e0.35_t_0.925",0.925659472422062
"power_e0.35_t_0.925",0.685851318944844
"se_e0.35_t_0.925",NA
"age_e0.35_t_0.925",NA
"sex2_e0.35_t_0.925",NA
"HR_e0.40_t_0.925",0.75877572274402
"MSE_e0.40_t_0.925",0.00868983815752392
"lower_e0.40_t_0.925",0.607669853083329
"upper_e0.40_t_0.925",0.947566259765192
"CI_width_e0.40_t_0.925",0.339896406681863
"CI_e0.40_t_0.925",0.928057553956835
"power_e0.40_t_0.925",0.702637889688249
"se_e0.40_t_0.925",NA
"age_e0.40_t_0.925",NA
"sex2_e0.40_t_0.925",NA
"HR_e0.15_t_0.900",0.778844480352995
"MSE_e0.15_t_0.900",0.0104961930780755
