"","x"
"HR_a0",0.996986876804381
"MSE_a0",0.0125137245242665
"lower_a0",0.804750289913906
"upper_a0",1.23514948938838
"CI_width_a0",0.430399199474475
"CI_a0",0.942446043165468
"power_a0",0.0287769784172662
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",1.01416591174284
"MSE_0",0.0151835685220724
"lower_0",0.796481970881085
"upper_0",1.29134668131029
"CI_width_0",0.494864710429203
"CI_0",0.947242206235012
"power_0",0.0191846522781775
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",1.04288342542877
"MSE_0.25",0.0140689460328333
"lower_0.25",0.83239064672109
"upper_0.25",1.30660756700749
"CI_width_0.25",0.4742169202864
"CI_0.25",0.949640287769784
"power_0.25",0.00479616306954436
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",1.06073413156423
"MSE_0.5",0.0155102488921417
"lower_0.5",0.856260996743687
"upper_0.5",1.31403820811201
"CI_width_0.5",0.457777211368322
"CI_0.5",0.935251798561151
"power_0.5",0
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",1.07278224002068
"MSE_0.75",0.0174717603920417
"lower_0.75",0.873326226969793
"upper_0.75",1.31779523476484
"CI_width_0.75",0.444469007795049
"CI_0.75",0.906474820143885
"power_0.75",0
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",1.08137195897319
"MSE_1",0.0194028974953562
"lower_1",0.886137561775339
"upper_1",1.31962494298382
"CI_width_1",0.433487381208479
"CI_1",0.875299760191847
"power_1",0
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",1.08407184344372
"MSE_iptw",0.0222665405317719
"lower_iptw",0.866013070295346
"upper_iptw",1.3571685049342
"CI_width_iptw",0.491155434638858
"CI_iptw",0.908872901678657
"power_iptw",0.00239808153477218
"se_iptw",NA
"age_iptw",0.011014041742842
"sex2_iptw",0.0989013630508165
"HR_cox",1.01443549272828
"MSE_cox",0.0154082480552967
"lower_cox",0.795298443141031
"upper_cox",1.29395752097893
"CI_width_cox",0.498659077837901
"CI_cox",0.94484412470024
"power_cox",0.0167865707434053
"se_cox",NA
"age_cox",0.00908766935068182
"sex2_cox",0.236213332747948
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
