"","x"
"HR_a0",0.723893482792159
"MSE_a0",0.00728840304040619
"lower_a0",0.578033845189659
"upper_a0",0.906563645820597
"CI_width_a0",0.328529800630939
"CI_a0",0.942446043165468
"power_a0",0.827338129496403
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.732205224190845
"MSE_0",0.00841030131443145
"lower_0",0.574594324622296
"upper_0",0.933051206644496
"CI_width_0",0.358456882022201
"CI_0",0.940047961630695
"power_0",0.712230215827338
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.733565469156809
"MSE_0.25",0.0074231742656685
"lower_0.25",0.581090757856511
"upper_0.25",0.926051697096168
"CI_width_0.25",0.344960939239657
"CI_0.25",0.952038369304556
"power_0.25",0.760191846522782
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.734565648915082
"MSE_0.5",0.00697240861063423
"lower_0.5",0.586233922826044
"upper_0.5",0.920433314018527
"CI_width_0.5",0.334199391192482
"CI_0.5",0.952038369304556
"power_0.5",0.796163069544365
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.735301393119299
"MSE_0.75",0.00680143348285021
"lower_0.75",0.590411060738127
"upper_0.75",0.915754226120528
"CI_width_0.75",0.325343165382401
"CI_0.75",0.954436450839328
"power_0.75",0.817745803357314
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.735837049513356
"MSE_1",0.00678483978618219
"lower_1",0.593870136781582
"upper_1",0.911748282979975
"CI_width_1",0.317878146198393
"CI_1",0.949640287769784
"power_1",0.836930455635492
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.74878636259335
"MSE_iptw",0.00977268530167586
"lower_iptw",0.583320180209578
"upper_iptw",0.961445364791489
"CI_width_iptw",0.378125184581911
"CI_iptw",0.937649880095923
"power_iptw",0.611510791366906
"se_iptw",NA
"age_iptw",0.0101624787995732
"sex2_iptw",0.14955493387317
"HR_cox",0.731522788739217
"MSE_cox",0.00863463188524242
"lower_cox",0.572545663171128
"upper_cox",0.934648122276491
"CI_width_cox",0.362102459105363
"CI_cox",0.937649880095923
"power_cox",0.719424460431655
"se_cox",NA
"age_cox",0.00944277944548935
"sex2_cox",0.231159437834487
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.713716186450608
