"","x"
"HR_a0",0.738281428423016
"MSE_a0",0.00687863100895701
"lower_a0",0.595996379780443
"upper_a0",0.914538832936027
"CI_width_a0",0.318542453155585
"CI_a0",0.937649880095923
"power_a0",0.834532374100719
"se_a0",NA
"age_a0",NA
"sex2_a0",NA
"HR_0",0.739404001820158
"MSE_0",0.00759379076889816
"lower_0",0.580234104777497
"upper_0",0.94224005040879
"CI_width_0",0.362005945631293
"CI_0",0.954436450839328
"power_0",0.721822541966427
"se_0",NA
"age_0",NA
"sex2_0",NA
"HR_0.25",0.758099970177426
"MSE_0.25",0.0069129843603954
"lower_0.25",0.604729785208401
"upper_0.25",0.950369896798955
"CI_width_0.25",0.345640111590554
"CI_0.25",0.966426858513189
"power_0.25",0.709832134292566
"se_0.25",NA
"age_0.25",NA
"sex2_0.25",NA
"HR_0.5",0.769878449611058
"MSE_0.5",0.0073950507115506
"lower_0.5",0.621168543551243
"upper_0.5",0.954192696356193
"CI_width_0.5",0.33302415280495
"CI_0.5",0.959232613908873
"power_0.5",0.705035971223022
"se_0.5",NA
"age_0.5",NA
"sex2_0.5",NA
"HR_0.75",0.777955021422313
"MSE_0.75",0.00814417182317701
"lower_0.75",0.633040375217077
"upper_0.75",0.956046297731382
"CI_width_0.75",0.323005922514304
"CI_0.75",0.930455635491607
"power_0.75",0.693045563549161
"se_0.75",NA
"age_0.75",NA
"sex2_0.75",NA
"HR_1",0.78381249603761
"MSE_1",0.0089103723321898
"lower_1",0.642043998264024
"upper_1",0.956887848214861
"CI_width_1",0.314843849950836
"CI_1",0.911270983213429
"power_1",0.690647482014389
"se_1",NA
"age_1",NA
"sex2_1",NA
"HR_f",NA
"MSE_f",NA
"lower_f",NA
"upper_f",NA
"CI_width_f",NA
"CI_f",NA
"power_f",NA
"se_f",NA
"age_f",NA
"sex2_f",NA
"HR_iptw",0.802680585269283
"MSE_iptw",0.0140612998057787
"lower_iptw",0.642917666868659
"upper_iptw",1.00223842791138
"CI_width_iptw",0.35932076104272
"CI_iptw",0.884892086330935
"power_iptw",0.532374100719424
"se_iptw",NA
"age_iptw",0.0079612648836019
"sex2_iptw",0.226570947072134
"HR_cox",0.738679595232735
"MSE_cox",0.00783690684729602
"lower_cox",0.578181970030054
"upper_cox",0.943735395505067
"CI_width_cox",0.365553425475013
"CI_cox",0.956834532374101
"power_cox",0.705035971223022
"se_cox",NA
"age_cox",0.00893350278257126
"sex2_cox",0.226949890355752
"HR_com_cauchy",NA
"MSE_com_cauchy",NA
"lower_com_cauchy",NA
"upper_com_cauchy",NA
"CI_width_com_cauchy",NA
"CI_com_cauchy",NA
"power_com_cauchy",NA
"se_com_cauchy",NA
"age_com_cauchy",NA
"sex2_com_cauchy",NA
"HR_com_a0",NA
"MSE_com_a0",NA
"lower_com_a0",NA
"upper_com_a0",NA
"CI_width_com_a0",NA
"CI_com_a0",NA
"power_com_a0",NA
"se_com_a0",NA
"age_com_a0",NA
"sex2_com_a0",NA
"HR_a0_v1",0.720180579442398
"MSE_a0_v1",0.00693662744107813
"lower_a0_v1",0.583358801168526
"upper_a0_v1",0.889097791936654
"CI_width_a0_v1",0.305738990768128
"CI_a0_v1",0.916306954436451
"power_a0_v1",0.883693045563549
"se_a0_v1",NA
"age_a0_v1",NA
"sex2_a0_v1",NA
"SE_a0",0.109272316271226
"a0_logHR",-0.309673037953203
"bias_a0",NA
"scale",-0.183102048111352
"mean_a0",0.496838041499639
"a0_wt_ecog0",0.502132695811449
"a0_wt_ecog1",0.497984569611045
"a0_wt_ecogNA",0.495985388228526
"a0_wt_int1",0.504938674820144
"a0_wt_int2",0.482857395428587
"a0_mean_q0.1",0.114708860911271
"a0_wt_int1_q0.1",0.138314573141487
"a0_wt_int2_q0.1",0.0990052829736211
"a0_mean_q0.25",0.266989916067146
"a0_wt_int1_q0.25",0.29185293764988
"a0_wt_int2_q0.25",0.236480335731415
"a0_mean_q0.5",0.500284244604317
"a0_wt_int1_q0.5",0.512707146282974
"a0_wt_int2_q0.5",0.475002386091127
"a0_mean_q0.75",0.722644760191847
"a0_wt_int1_q0.75",0.714926037170264
"a0_wt_int2_q0.75",0.725613303357314
"a0_mean_q0.9",0.874269688249401
"a0_wt_int1_q0.9",0.85998079616307
"a0_wt_int2_q0.9",0.878824436450839
"a0_wts_0_1",0.506919604316547
"a0_wts_1_1",0.506965271782574
"a0_wts_2_1",0.503702459580723
"a0_wts_0_2",0.491185764245746
"a0_wts_1_2",0.481909043564594
"a0_wts_2_2",0.482493211259839
"nu_trt",200
"nu_ctrl",100
"nu_h",96.9976019184652
"T1E",0
"a0_wt_obs",0.50771842498048
"a0_wt_cen",0.465136912987181
"HR_e0.15_t_0.975",0.751346620413783
"MSE_e0.15_t_0.975",0.00751573823643728
"lower_e0.15_t_0.975",0.600696380644497
"upper_e0.15_t_0.975",0.939917321883476
"CI_width_e0.15_t_0.975",0.339220941238979
"CI_e0.15_t_0.975",0.952038369304556
"power_e0.15_t_0.975",0.741007194244604
"se_e0.15_t_0.975",NA
"age_e0.15_t_0.975",NA
"sex2_e0.15_t_0.975",NA
"HR_e0.20_t_0.975",0.750466397665977
"MSE_e0.20_t_0.975",0.00745478254769353
"lower_e0.20_t_0.975",0.600012675935656
"upper_e0.20_t_0.975",0.938785656281933
"CI_width_e0.20_t_0.975",0.338772980346278
"CI_e0.20_t_0.975",0.954436450839328
"power_e0.20_t_0.975",0.743405275779377
"se_e0.20_t_0.975",NA
"age_e0.20_t_0.975",NA
"sex2_e0.20_t_0.975",NA
"HR_e0.25_t_0.975",0.749586574041316
"MSE_e0.25_t_0.975",0.00739765118602561
"lower_e0.25_t_0.975",0.599328959186894
"upper_e0.25_t_0.975",0.937655007965763
"CI_width_e0.25_t_0.975",0.338326048778869
"CI_e0.25_t_0.975",0.954436450839328
"power_e0.25_t_0.975",0.745803357314149
"se_e0.25_t_0.975",NA
"age_e0.25_t_0.975",NA
"sex2_e0.25_t_0.975",NA
"HR_e0.30_t_0.975",0.748707114121125
"MSE_e0.30_t_0.975",0.00734433653132799
"lower_e0.30_t_0.975",0.598645202063226
"upper_e0.30_t_0.975",0.936525332460299
"CI_width_e0.30_t_0.975",0.337880130397073
"CI_e0.30_t_0.975",0.954436450839328
"power_e0.30_t_0.975",0.752997601918465
"se_e0.30_t_0.975",NA
"age_e0.30_t_0.975",NA
"sex2_e0.30_t_0.975",NA
"HR_e0.35_t_0.975",0.747827982116733
"MSE_e0.35_t_0.975",0.00729483172144859
"lower_e0.35_t_0.975",0.597961375870476
"upper_e0.35_t_0.975",0.935396584929574
"CI_width_e0.35_t_0.975",0.337435209059098
"CI_e0.35_t_0.975",0.954436450839328
"power_e0.35_t_0.975",0.760191846522782
"se_e0.35_t_0.975",NA
"age_e0.35_t_0.975",NA
"sex2_e0.35_t_0.975",NA
"HR_e0.40_t_0.975",0.746949141849719
"MSE_e0.40_t_0.975",0.00724913066295058
"lower_e0.40_t_0.975",0.597277451537551
"upper_e0.40_t_0.975",0.934268720154582
"CI_width_e0.40_t_0.975",0.33699126861703
"CI_e0.40_t_0.975",0.954436450839328
"power_e0.40_t_0.975",0.76978417266187
"se_e0.40_t_0.975",NA
"age_e0.40_t_0.975",NA
"sex2_e0.40_t_0.975",NA
"HR_e0.15_t_0.950",0.757915387258554
"MSE_e0.15_t_0.950",0.00723902997029291
"lower_e0.15_t_0.950",0.609035800299512
"upper_e0.15_t_0.950",0.943266303536716
"CI_width_e0.15_t_0.950",0.334230503237204
"CI_e0.15_t_0.950",0.954436450839328
"power_e0.15_t_0.950",0.741007194244604
"se_e0.15_t_0.950",NA
"age_e0.15_t_0.950",NA
"sex2_e0.15_t_0.950",NA
"HR_e0.20_t_0.950",0.756710291411917
"MSE_e0.20_t_0.950",0.00716576327725543
"lower_e0.20_t_0.950",0.60808902561246
"upper_e0.20_t_0.950",0.941733498865515
"CI_width_e0.20_t_0.950",0.333644473253056
"CI_e0.20_t_0.950",0.954436450839328
"power_e0.20_t_0.950",0.748201438848921
"se_e0.20_t_0.950",NA
"age_e0.20_t_0.950",NA
"sex2_e0.20_t_0.950",NA
"HR_e0.25_t_0.950",0.755504740402055
"MSE_e0.25_t_0.950",0.00709832189167941
"lower_e0.25_t_0.950",0.607141460209033
"upper_e0.25_t_0.950",0.940200790662541
"CI_width_e0.25_t_0.950",0.333059330453509
"CI_e0.25_t_0.950",0.952038369304556
"power_e0.25_t_0.950",0.750599520383693
"se_e0.25_t_0.950",NA
"age_e0.25_t_0.950",NA
"sex2_e0.25_t_0.950",NA
"HR_e0.30_t_0.950",0.754298674744789
"MSE_e0.30_t_0.950",0.00703671234390082
"lower_e0.30_t_0.950",0.606193055046444
"upper_e0.30_t_0.950",0.93866810663202
"CI_width_e0.30_t_0.950",0.332475051585575
"CI_e0.30_t_0.950",0.949640287769784
"power_e0.30_t_0.950",0.755395683453237
"se_e0.30_t_0.950",NA
"age_e0.30_t_0.950",NA
"sex2_e0.30_t_0.950",NA
"HR_e0.35_t_0.950",0.753092033846365
"MSE_e0.35_t_0.950",0.00698094270896756
"lower_e0.35_t_0.950",0.60524376006764
"upper_e0.35_t_0.950",0.9371353732929
"CI_width_e0.35_t_0.950",0.33189161322526
"CI_e0.35_t_0.950",0.949640287769784
"power_e0.35_t_0.950",0.762589928057554
"se_e0.35_t_0.950",NA
"age_e0.35_t_0.950",NA
"sex2_e0.35_t_0.950",NA
"HR_e0.40_t_0.950",0.751884755943404
"MSE_e0.40_t_0.950",0.00693102265630845
"lower_e0.40_t_0.950",0.604293524147183
"upper_e0.40_t_0.950",0.935602515913416
"CI_width_e0.40_t_0.950",0.331308991766233
"CI_e0.40_t_0.950",0.952038369304556
"power_e0.40_t_0.950",0.772182254196643
"se_e0.40_t_0.950",NA
"age_e0.40_t_0.950",NA
"sex2_e0.40_t_0.950",NA
"HR_e0.15_t_0.925",0.761591183194155
"MSE_e0.15_t_0.925",0.00717845261533476
"lower_e0.15_t_0.925",0.613471914823197
"upper_e0.15_t_0.925",0.945511016244169
"CI_width_e0.15_t_0.925",0.332039101420971
"CI_e0.15_t_0.925",0.959232613908873
"power_e0.15_t_0.925",0.729016786570743
"se_e0.15_t_0.925",NA
"age_e0.15_t_0.925",NA
"sex2_e0.15_t_0.925",NA
"HR_e0.20_t_0.925",0.760207030177394
"MSE_e0.20_t_0.925",0.00710241193100341
"lower_e0.20_t_0.925",0.612378017821435
"upper_e0.20_t_0.925",0.943760365012706
"CI_width_e0.20_t_0.925",0.331382347191272
"CI_e0.20_t_0.925",0.959232613908873
"power_e0.20_t_0.925",0.73621103117506
"se_e0.20_t_0.925",NA
"age_e0.20_t_0.925",NA
"sex2_e0.20_t_0.925",NA
"HR_e0.25_t_0.925",0.758821610193622
"MSE_e0.25_t_0.925",0.00703333695039871
"lower_e0.25_t_0.925",0.611282628192388
"upper_e0.25_t_0.925",0.942008876407941
"CI_width_e0.25_t_0.925",0.330726248215553
"CI_e0.25_t_0.925",0.959232613908873
"power_e0.25_t_0.925",0.741007194244604
"se_e0.25_t_0.925",NA
"age_e0.25_t_0.925",NA
"sex2_e0.25_t_0.925",NA
"HR_e0.30_t_0.925",0.757434844956088
"MSE_e0.30_t_0.925",0.00697124821281875
"lower_e0.30_t_0.925",0.610185680800452
"upper_e0.30_t_0.925",0.940256456260725
"CI_width_e0.30_t_0.925",0.330070775460273
"CI_e0.30_t_0.925",0.956834532374101
"power_e0.30_t_0.925",0.748201438848921
"se_e0.30_t_0.925",NA
"age_e0.30_t_0.925",NA
"sex2_e0.30_t_0.925",NA
"HR_e0.35_t_0.925",0.75604665444115
"MSE_e0.35_t_0.925",0.00691616844237342
"lower_e0.35_t_0.925",0.609087108948262
"upper_e0.35_t_0.925",0.93850300850406
"CI_width_e0.35_t_0.925",0.329415899555798
"CI_e0.35_t_0.925",0.954436450839328
"power_e0.35_t_0.925",0.75779376498801
"se_e0.35_t_0.925",NA
"age_e0.35_t_0.925",NA
"sex2_e0.35_t_0.925",NA
"HR_e0.40_t_0.925",0.75465695679374
"MSE_e0.40_t_0.925",0.0068681226315168
"lower_e0.40_t_0.925",0.607986844291957
"upper_e0.40_t_0.925",0.936748435069315
"CI_width_e0.40_t_0.925",0.328761590777358
"CI_e0.40_t_0.925",0.956834532374101
"power_e0.40_t_0.925",0.767386091127098
"se_e0.40_t_0.925",NA
"age_e0.40_t_0.925",NA
"sex2_e0.40_t_0.925",NA
"HR_e0.15_t_0.900",0.764009001746322
"MSE_e0.15_t_0.900",0.00708785821016858
"lower_e0.15_t_0.900",0.616114178409553
"upper_e0.15_t_0.900",0.947420557102745
"CI_width_e0.15_t_0.900",0.331306378693192
"CI_e0.15_t_0.900",0.961630695443645
"power_e0.15_t_0.900",0.726618705035971
"se_e0.15_t_0.900",NA
"age_e0.15_t_0.900",NA
"sex2_e0.15_t_0.900",NA
"HR_e0.20_t_0.900",0.762518457617067
"MSE_e0.20_t_0.900",0.00701067766047407
"lower_e0.20_t_0.900",0.614932518149814
"upper_e0.20_t_0.900",0.94554098585828
"CI_width_e0.20_t_0.900",0.330608467708465
"CI_e0.20_t_0.900",0.961630695443645
"power_e0.20_t_0.900",0.731414868105516
"se_e0.20_t_0.900",NA
"age_e0.20_t_0.900",NA
"sex2_e0.20_t_0.900",NA
"HR_e0.25_t_0.900",0.761026026379293
"MSE_e0.25_t_0.900",0.00694121992843736
"lower_e0.25_t_0.900",0.613748839103773
"upper_e0.25_t_0.900",0.943659848853363
"CI_width_e0.25_t_0.900",0.32991100974959
"CI_e0.25_t_0.900",0.961630695443645
"power_e0.25_t_0.900",0.73621103117506
"se_e0.25_t_0.900",NA
"age_e0.25_t_0.900",NA
"sex2_e0.25_t_0.900",NA
"HR_e0.30_t_0.900",0.759531617333254
"MSE_e0.30_t_0.900",0.00687951701530981
"lower_e0.30_t_0.900",0.61256306551608
"upper_e0.30_t_0.900",0.941777037488233
"CI_width_e0.30_t_0.900",0.329213971972153
"CI_e0.30_t_0.900",0.959232613908873
"power_e0.30_t_0.900",0.743405275779377
"se_e0.30_t_0.900",NA
"age_e0.30_t_0.900",NA
"sex2_e0.30_t_0.900",NA
"HR_e0.35_t_0.900",0.758035137654559
"MSE_e0.35_t_0.900",0.00682560350567314
"lower_e0.35_t_0.900",0.611375119730898
"upper_e0.35_t_0.900",0.939892440826032
"CI_width_e0.35_t_0.900",0.328517321095134
"CI_e0.35_t_0.900",0.956834532374101
"power_e0.35_t_0.900",0.752997601918465
"se_e0.35_t_0.900",NA
"age_e0.35_t_0.900",NA
"sex2_e0.35_t_0.900",NA
"HR_e0.40_t_0.900",0.756536492281416
"MSE_e0.40_t_0.900",0.00677951666894886
"lower_e0.40_t_0.900",0.61018492209091
"upper_e0.40_t_0.900",0.938005945468977
"CI_width_e0.40_t_0.900",0.327821023378066
"CI_e0.40_t_0.900",0.959232613908873
"power_e0.40_t_0.900",0.762589928057554
"se_e0.40_t_0.900",NA
"age_e0.40_t_0.900",NA
"sex2_e0.40_t_0.900",NA
"HR_e0.15_t_0.000",0.765211628216571
"MSE_e0.15_t_0.000",0.00710095623104856
"lower_e0.15_t_0.000",0.617464802809317
"upper_e0.15_t_0.000",0.94831389425465
"CI_width_e0.15_t_0.000",0.330849091445332
"CI_e0.15_t_0.000",0.961630695443645
"power_e0.15_t_0.000",0.719424460431655
"se_e0.15_t_0.000",NA
"age_e0.15_t_0.000",NA
"sex2_e0.15_t_0.000",NA
"HR_e0.20_t_0.000",0.763651501153256
"MSE_e0.20_t_0.000",0.00701935411753124
"lower_e0.20_t_0.000",0.616225564247787
"upper_e0.20_t_0.000",0.946350268276383
"CI_width_e0.20_t_0.000",0.330124704028596
"CI_e0.20_t_0.000",0.961630695443645
"power_e0.20_t_0.000",0.726618705035971
"se_e0.20_t_0.000",NA
"age_e0.20_t_0.000",NA
"sex2_e0.20_t_0.000",NA
"HR_e0.25_t_0.000",0.762088947436307
"MSE_e0.25_t_0.000",0.0069460333520087
"lower_e0.25_t_0.000",0.614983857363779
"upper_e0.25_t_0.000",0.944384430013741
"CI_width_e0.25_t_0.000",0.329400572649961
"CI_e0.25_t_0.000",0.961630695443645
"power_e0.25_t_0.000",0.731414868105516
"se_e0.25_t_0.000",NA
"age_e0.25_t_0.000",NA
"sex2_e0.25_t_0.000",NA
"HR_e0.30_t_0.000",0.760523863318893
"MSE_e0.30_t_0.000",0.00688103835843324
"lower_e0.30_t_0.000",0.613739595341919
"upper_e0.30_t_0.000",0.942416255533293
"CI_width_e0.30_t_0.000",0.328676660191374
"CI_e0.30_t_0.000",0.959232613908873
"power_e0.30_t_0.000",0.738609112709832
"se_e0.30_t_0.000",NA
"age_e0.30_t_0.000",NA
"sex2_e0.30_t_0.000",NA
"HR_e0.35_t_0.000",0.758956142374303
"MSE_e0.35_t_0.000",0.00682441668613124
"lower_e0.35_t_0.000",0.612492688986379
"upper_e0.35_t_0.000",0.940445617927001
"CI_width_e0.35_t_0.000",0.327952928940621
"CI_e0.35_t_0.000",0.956834532374101
"power_e0.35_t_0.000",0.748201438848921
"se_e0.35_t_0.000",NA
"age_e0.35_t_0.000",NA
"sex2_e0.35_t_0.000",NA
"HR_e0.40_t_0.000",0.757385675346707
"MSE_e0.40_t_0.000",0.00677621914587575
"lower_e0.40_t_0.000",0.61124304658765
"upper_e0.40_t_0.000",0.93847238714762
"CI_width_e0.40_t_0.000",0.32722934055997
"CI_e0.40_t_0.000",0.959232613908873
"power_e0.40_t_0.000",0.760191846522782
"se_e0.40_t_0.000",NA
"age_e0.40_t_0.000",NA
"sex2_e0.40_t_0.000",NA
"HR_q1.00_t_0.975",0.744909131985225
"MSE_q1.00_t_0.975",0.00724755161061257
"lower_q1.00_t_0.975",0.595577171326608
"upper_q1.00_t_0.975",0.931824868838341
"CI_width_q1.00_t_0.975",0.336247697511733
"CI_q1.00_t_0.975",0.949640287769784
"power_q1.00_t_0.975",0.774580335731415
"se_q1.00_t_0.975",NA
"age_q1.00_t_0.975",NA
"sex2_q1.00_t_0.975",NA
"HR_q1.25_t_0.975",0.746750087542508
"MSE_q1.25_t_0.975",0.00729813637029577
"lower_q1.25_t_0.975",0.597035386371377
"upper_q1.25_t_0.975",0.934147963843335
"CI_width_q1.25_t_0.975",0.337112577471957
"CI_q1.25_t_0.975",0.947242206235012
